Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,7.839400,7.839400,7.833850,7.839320,7.839320,0
2019-11-01,7.836700,7.838450,7.834600,7.836700,7.836700,0
2019-11-04,7.837000,7.839700,7.835800,7.837000,7.837000,0
2019-11-05,7.836950,7.838500,7.831570,7.836600,7.836600,0
2019-11-06,7.832900,7.834240,7.822900,7.832400,7.832400,0
2019-11-07,7.826440,7.826750,7.822700,7.826470,7.826470,0
2019-11-08,7.825400,7.828700,7.822600,7.825600,7.825600,0
2019-11-11,7.828410,7.834460,7.825330,7.828240,7.828240,0
2019-11-12,7.825660,7.828500,7.824900,7.825610,7.825610,0
2019-11-13,7.828800,7.833200,7.827840,7.828700,7.828700,0
2019-11-14,7.828000,7.831510,7.825700,7.828100,7.828100,0
2019-11-15,7.827400,7.831400,7.825900,7.827900,7.827900,0
2019-11-18,7.826160,7.830400,7.825820,7.826460,7.826460,0
2019-11-19,7.827800,7.829910,7.826310,7.826920,7.826920,0
2019-11-20,7.827700,7.829430,7.824800,7.827300,7.827300,0
2019-11-21,7.826080,7.828480,7.819800,7.826200,7.826200,0
2019-11-22,7.820010,7.825800,7.820010,7.820200,7.820200,0
2019-11-25,7.825100,7.828200,7.824400,7.825200,7.825200,0
2019-11-26,7.825700,7.832640,7.825400,7.825590,7.825590,0
2019-11-27,7.828500,7.829500,7.826690,7.828500,7.828500,0
2019-11-28,7.827800,7.829570,7.825400,7.827360,7.827360,0
2019-11-29,7.827200,7.828500,7.825100,7.827100,7.827100,0
2019-12-02,7.828380,7.829600,7.827200,7.828300,7.828300,0
2019-12-03,7.828050,7.830410,7.827800,7.828300,7.828300,0
2019-12-04,7.829500,7.829800,7.827400,7.829700,7.829700,0
2019-12-05,7.828910,7.829390,7.828100,7.828800,7.828800,0
2019-12-06,7.828800,7.830670,7.828070,7.828700,7.828700,0
2019-12-09,7.829350,7.830400,7.826500,7.828960,7.828960,0
2019-12-10,7.828400,7.828600,7.824800,7.828350,7.828350,0
2019-12-11,7.826700,7.826700,7.810300,7.826700,7.826700,0
2019-12-12,7.808900,7.809940,7.798000,7.808660,7.808660,0
2019-12-13,7.805320,7.806600,7.790600,7.805500,7.805500,0
2019-12-16,7.799230,7.800690,7.786830,7.798780,7.798780,0
2019-12-17,7.792710,7.793500,7.786000,7.792660,7.792660,0
2019-12-18,7.786770,7.790120,7.782750,7.787000,7.787000,0
2019-12-19,7.788150,7.799280,7.787700,7.788100,7.788100,0
2019-12-20,7.794520,7.801110,7.794340,7.794400,7.794400,0
2019-12-23,7.796790,7.798200,7.784300,7.796850,7.796850,0
2019-12-24,7.787030,7.788850,7.784310,7.786900,7.786900,0
2019-12-25,7.788200,7.791300,7.775500,7.788100,7.788100,0
2019-12-26,7.788900,7.789900,7.786420,7.788600,7.788600,0
2019-12-27,7.787350,7.789200,7.784800,7.787900,7.787900,0
2019-12-30,7.787390,7.790700,7.785500,7.787330,7.787330,0
2019-12-31,7.788390,7.791880,7.782590,7.788100,7.788100,0
